organism	rename	category
Human herpesvirus 1	Human herpesvirus	Herpesvirus
Human herpesvirus 2	Human herpesvirus	Herpesvirus
Human herpesvirus 3 (Varicella-zoster virus)	Human herpesvirus	Herpesvirus
Human herpesvirus 5 (Human cytomegalovirus)	Human herpesvirus	Herpesvirus
Human herpesvirus 5 (strain RV798)	Human herpesvirus	Herpesvirus
Human herpesvirus 5 strain AD169 (Human cytomegalovirus (strain AD169))	Human herpesvirus	Herpesvirus
Human herpesvirus 5 strain Towne (Human cytomegalovirus (strain Towne))	Human herpesvirus	Herpesvirus
Human herpes virus 1	Human herpesvirus	Herpesvirus
HHV	Human herpesvirus	Herpesvirus
Human alphaherpesvirus 1 strain 17 (Herpes simplex virus (type 1 / strain 17))	Human herpesvirus	Herpesvirus
Epstein Barr virus (EBV)	Human herpesvirus-EBV	Herpesvirus
Human herpesvirus 4 (Epstein Barr virus)	Human herpesvirus-EBV	Herpesvirus
Human herpesvirus 4 strain B95-8 (Epstein-Barr virus (strain B95-8))	Human herpesvirus-EBV	Herpesvirus
EBV	Human herpesvirus-EBV	Herpesvirus
Human T-cell leukemia virus type I (Human T cell leukemia virus type 1)	Human T-cell leukemia virus type I	Human T-cell leukemia virus type I
IgG4-related disease	IgG4-related disease	IgG4-related disease
Inflammatory bowel disease (IBD)	Inflammatory bowel disease 	Inflammatory bowel disease 
H1N1 subtype (H1N1)	Influenza A	Influenza
Influenza A virus	Influenza A	Influenza
Influenza A virus (A/California/04/2009(H1N1))	Influenza A	Influenza
Influenza A virus (A/California/07/2009(H1N1))	Influenza A	Influenza
Influenza A virus (A/Canterbury/236/2005(H3N2))	Influenza A	Influenza
Influenza A virus (A/Japan/305/1957(H2N2)) (Influenza A virus (A/Japan/305/57(H2N2)))	Influenza A	Influenza
Influenza A virus (A/Luxembourg/46/2009(H1N1))	Influenza A	Influenza
Influenza A virus (A/Memphis/102/1972(H3N2))	Influenza A	Influenza
Influenza A virus (A/Memphis/4/1973(H3N2)) (Influenza A virus (A/Memphis/4/73(H3N2)))	Influenza A	Influenza
Influenza A virus (A/Netherlands/602/2009(H1N1))	Influenza A	Influenza
Influenza A virus (A/Puerto Rico/8/1934(H1N1)) (Influenza A virus (A/PR 8/34 (H1N1)))	Influenza A	Influenza
Influenza A virus (A/Puerto Rico/8/34/Mount Sinai(H1N1)) (Influenza A virus (A/Puerto Rico/8/1934(mt sinai)(H1N1)))	Influenza A	Influenza
Influenza A virus (A/Viet Nam/1203/2004(H5N1)) (Influenza A virus (A/Vietnam/1203/04(H5N1)))	Influenza A	Influenza
Influenza A virus (A/X-31(H3N2)) (Influenza A virus (A/X31(H3N2)))	Influenza A	Influenza
Influenza A virus (A/bar-headed goose/Qinghai/1-HVRI/2006(H5N1))	Influenza A	Influenza
Influenza A virus (A/bar-headed goose/Qinghai/3/2005(H5N1)) (Influenza A virus (A/bar headed goose/Qinghai/3/2005(H5N1)))	Influenza A	Influenza
Influenza A virus (A/chicken/Anhui/1/1998(H9N2)) (Influenza A virus (A/Chicken/Anhui/1/98(H9N2)))	Influenza A	Influenza
Influenza A virus H3N2 (A/Resvir-9 (H3N2))	Influenza A	Influenza
Influenza A virus H3N2 (influenza virus A/H3N2)	Influenza A	Influenza
Influenza	Influenza A	Influenza
InfluenzaA	Influenza A	Influenza
Influenza B virus (Influenza virus type B)	Influenza B	Influenza
Influenza B	Influenza B	Influenza
InfluenzaB	Influenza B	Influenza
Japanese encephalitis	Japanese encephalitis	Japanese encephalitis
JC polyomavirus (Human polyomavirus (type JC))	JC polyomavirus	JC polyomavirus
Acute myeloid leukemia	Leukemia	Leukemia
Leukemia	Leukemia	Leukemia
Acute lymphoblastic leukemia	Leukemia	Leukemia
Chronic lymphocytic leukemia	Leukemia	Leukemia
Chronic myeloid leukemia	Leukemia	Leukemia
T large granular lymphocyte leukemia	Leukemia	Leukemia
Lung cancer	Lung cancer	Lung cancer
Non-small cell lung cancer	Lung cancer	Lung cancer
Hepatocellular carcinoma	Lung cancer	Lung cancer
Lupus nephritis	Lupus nephritis	Lupus nephritis
Lymphocytic choriomeningitis virus (strain Armstrong)	Lymphocytic choriomeningitis virus	Lymphocytic choriomeningitis virus
Lymphocytic choriomeningitis virus (LCMV)	Lymphocytic choriomeningitis virus	Lymphocytic choriomeningitis virus
LCMV	Lymphocytic choriomeningitis virus	Lymphocytic choriomeningitis virus
Lymphoma	Lymphoma	Lymphoma
Mammarenavirus choriomeningitidis (Lymphocytic choriomeningitis mammarenavirus)	Mammarenavirus choriomeningitidis	Mammarenavirus choriomeningitidis
Manduca sexta (Carolina sphinx)	Manduca sexta	Manduca sexta
ManducaSexta	Manduca sexta	Manduca sexta
mCMV	MCMV	MCMV
MCMV	MCMV	MCMV
Melanoma	Melanoma	Melanoma
Merkel cell carcinoma	Merkel cell carcinoma	Merkel cell carcinoma
Merkel cell polyomavirus (MCPyV isolate R17b)	Merkel cell polyomavirus	Merkel cell polyomavirus
MCPyV	Merkel cell polyomavirus	Merkel cell polyomavirus
Multiple sclerosis (MS)	Multiple sclerosis	Multiple sclerosis
Murid betaherpesvirus 1 (Mouse cytomegalovirus 1)	Murid herpesvirus	Herpesvirus
Murid herpesvirus 1 deltaMS94.5	Murid herpesvirus	Herpesvirus
AKR (endogenous) murine leukemia virus (AKR murine leukemia virus)	murine leukemia virus	murine leukemia virus
Friend murine leukemia virus (Friend murine leukemia virus F-MuLV)	murine leukemia virus	murine leukemia virus
Murine leukemia virus (murine leukemia virus MLV)	murine leukemia virus	murine leukemia virus
Mus musculus (mouse)	Mus musculus	Mus musculus
MusMusculus	Mus musculus	Mus musculus
Mycobacterium tuberculosis	Mycobacterium tuberculosis	Mycobacterium tuberculosis
Mycobacterium tuberculosis H37Rv (Mycobacterium tuberculosis str. H37Rv)	Mycobacterium tuberculosis	Mycobacterium tuberculosis
Mycobacterium tuberculosis variant bovis BCG	Mycobacterium tuberculosis	Mycobacterium tuberculosis
M. tuberculosis	Mycobacterium tuberculosis	Mycobacterium tuberculosis
M.Tuberculosis	Mycobacterium tuberculosis	Mycobacterium tuberculosis
M.tuberculosis	Mycobacterium tuberculosis	Mycobacterium tuberculosis
Mtb	Mycobacterium tuberculosis	Mycobacterium tuberculosis
Narcolepsy	Narcolepsy	Narcolepsy
Neoantigen	Neoantigen	Neoantigen
Non-ST-elevation Myocardial Infarction (NSTEMI)	Non-ST-elevation Myocardial Infarction	Non-ST-elevation Myocardial Infarction
Bos taurus (bovine)	others	others
Columba livia (carrier pigeon)	others	others
Oryctolagus cuniculus (rabbit)	others	others
Oryzias latipes (Japanese rice fish)	others	others
Rattus norvegicus (brown rat)	others	others
Sus scrofa (pig)	others	others
Tetronarce californica (Pacific electric ray)	others	others
Chronic stable effort angina	others	others
Myasthenia gravis	others	others
Oncoprotein	Oncoprotein	Oncoprotein
S. mansoni	others	others
Sarcoidosis	others	others
Ulcerative Colitis	others	others
Other	others	others
Acidiphilium cryptum (Acidiphilum cryptum)	others_bacterium	others
Acinetobacter baylyi	others_bacterium	others
Alkalihalobacillus trypoxylicola	others_bacterium	others
Anaerotignum propionicum	others_bacterium	others
Anoxybacillus flavithermus	others_bacterium	others
Aspergillus nidulans	others_bacterium	others
Bacillus [genus]	others_bacterium	others
Bacillus subtilis	others_bacterium	others
Bacteroides fragilis	others_bacterium	others
Bacteroides stercoris	others_bacterium	others
Bifidobacterium breve	others_bacterium	others
Blastococcus saxobsidens DD2 (Blastococcus saxobsidens str. DD2)	others_bacterium	others
Blastomyces dermatitidis	others_bacterium	others
Candida orthopsilosis	others_bacterium	others
Cavenderia fasciculata	others_bacterium	others
Chlamydia trachomatis	others_bacterium	others
Chlorobium chlorochromatii	others_bacterium	others
Desulfotignum phosphitoxidans DSM 13687	others_bacterium	others
Emiliania huxleyi CCMP1516	others_bacterium	others
Encephalitozoon romaleae SJ-2008	others_bacterium	others
Enterocloster asparagiformis	others_bacterium	others
Enterococcus saccharolyticus	others_bacterium	others
Eubacterium plexicaudatum ASF492	others_bacterium	others
Haemophilus influenzae	others_bacterium	others
Halalkalibacter hemicellulosilyticus	others_bacterium	others
Kitasatospora setae KM-6054 (Kitasatospora setae str. KM-6054)	others_bacterium	others
Legionella longbeachae NSW150 (Legionella longbeachae str. NSW150)	others_bacterium	others
Leishmania major	others_bacterium	others
Ligilactobacillus murinus ASF361	others_bacterium	others
Listeria monocytogenes	others_bacterium	others
Macrophomina phaseolina MS6 (Macrophomina phaseolina str. MS6)	others_bacterium	others
Mycobacterium avium	others_bacterium	others
Myxococcus stipitatus DSM 14675	others_bacterium	others
Ogataea parapolymorpha DL-1 (Hansenula polymorpha DL-1)	others_bacterium	others
Olsenella uli	others_bacterium	others
Priestia koreensis	others_bacterium	others
Pseudomonas aeruginosa	others_bacterium	others
Pseudomonas fluorescens	others_bacterium	others
