"Group","Coverage"
"Total","120 of 126 (95.24%)"
"IGLV1","18 of 19 (94.74%)"
"IGLV10","6 of 6 (100%)"
"IGLV11","2 of 2 (100%)"
"IGLV2","30 of 31 (96.77%)"
"IGLV3","31 of 31 (100%)"
"IGLV4","7 of 8 (87.5%)"
"IGLV5","13 of 13 (100%)"
"IGLV6","4 of 4 (100%)"
"IGLV7","5 of 5 (100%)"
"IGLV8","1 of 4 (25%)"
"IGLV9","3 of 3 (100%)"
